indent_id,dish_set
1000,包菜粉丝|大白菜|干菜长江豆|油豆腐烧肉|米饭|花椒排骨|鸡米花/辣子鸡
10000,培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酱肉
10001,米饭|肉沫茄子/西葫芦炒蛋|葱油鸡
10002,木耳花菜|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酥鱼|酱肉|酸辣土豆丝|青椒水面筋
10003,白菜|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酱肉|酸辣土豆丝|青椒水面筋|青椒藕片
10004,米饭|肉末粉条|酸辣土豆丝|鱼香肉丝
10005,培红菜蘑菇毛豆肉丝|木耳莴笋片|白菜|米饭|青椒藕片
10006,培红菜蘑菇毛豆肉丝|木耳花菜|木耳莴笋片|白菜|盐水虾|米饭|酱肉
10007,酱肉|青椒藕片|鱼香肉丝
10008,付皮包|木耳花菜|油豆腐烧肉|米饭|酥鱼
10009,米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|葱油鸡|酸辣土豆丝|青椒水面筋
1001,包菜粉丝|大白菜|米饭|青椒水面筋/木耳西兰|鱼香杏鲍菇炒肉|鸡米花/辣子鸡
10010,付皮包|培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋|酥鱼|酸辣土豆丝
10011,培红菜蘑菇毛豆肉丝|木耳花菜|油豆腐烧肉|米饭|红烧排骨|肉沫茄子/西葫芦炒蛋|葱油娃娃菜
10012,付皮包|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|酥鱼|青椒水面筋
10013,米饭|葱油娃娃菜|葱油鸡|酥鱼|酸辣土豆丝|鱼香肉丝
10014,油豆腐烧肉|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋
10015,付皮包|木耳花菜|油豆腐烧肉|米饭|红烧排骨|肉末粉条|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酸辣土豆丝|青椒水面筋|青椒藕片|鱼香肉丝
10016,培红菜蘑菇毛豆肉丝|盐水虾|米饭|肉沫茄子/西葫芦炒蛋|酥鱼|酱肉|青椒藕片|鱼香肉丝
10017,培红菜蘑菇毛豆肉丝|木耳莴笋片|白菜|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|葱油鸡|酥鱼|酱肉|青椒水面筋|青椒藕片|鱼香肉丝
10018,培红菜蘑菇毛豆肉丝|木耳莴笋片|白菜|米饭|红烧排骨|酱肉
10019,木耳莴笋片|油豆腐烧肉|白菜|盐水虾|米饭|红烧排骨
1002,大白菜|油豆腐烧肉|米饭|花椒排骨|青瓜花生米/青椒炒蛋
10020,米饭|酱肉|青椒水面筋|鱼香肉丝
10021,白菜|盐水虾|米饭|肉末粉条|葱油鸡|酥鱼|酱肉
10022,付皮包|米饭|葱油鸡|酥鱼|酸辣土豆丝|青椒水面筋
10023,付皮包|培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋
10024,油豆腐烧肉|米饭|青椒水面筋|鱼香肉丝
10025,付皮包|木耳花菜|米饭|葱油娃娃菜|酱肉|鱼香肉丝
10026,付皮包|培红菜蘑菇毛豆肉丝|米饭|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酱肉
10027,培红菜蘑菇毛豆肉丝|白菜|米饭|肉沫茄子/西葫芦炒蛋|葱油鸡|酱肉
10028,白菜|米饭|肉沫茄子/西葫芦炒蛋|酱肉
10029,培红菜蘑菇毛豆肉丝|木耳莴笋片|白菜|米饭|葱油娃娃菜|青椒藕片
1003,包菜粉丝|米饭|花椒排骨|醋溜鱼/宫保鸡丁|鱼香杏鲍菇炒肉|鸡米花/辣子鸡
10030,培红菜蘑菇毛豆肉丝|木耳花菜|米饭|肉末粉条|肉沫茄子/西葫芦炒蛋|葱油娃娃菜|酥鱼|酱肉|酸辣土豆丝|青椒藕片|鱼香肉丝
10031,培红菜蘑菇毛豆肉丝|白菜|米饭|葱油娃娃菜|酱肉|青椒藕片
10032,木耳花菜|油豆腐烧肉|米饭|酥鱼
