iter	RMSE
0	384.3818135
1	379.4649465
2	374.854123
3	370.6208686
4	366.6905527
5	362.8437179
6	358.8913209
7	355.5014093
8	352.3859203
9	349.0635127
10	345.9867421
11	343.050605
12	340.4655798
13	336.7700228
14	334.228363
15	331.6594139
16	328.6810956
17	325.9995698
18	323.3861626
19	321.6220348
20	319.0462456
21	317.3034025
22	315.0704741
23	312.7561555
24	311.1338491
25	309.8373701
26	307.7380827
27	305.5671309
28	304.1043447
29	301.9767834
30	300.476526
31	299.0883521
32	297.9497732
33	296.7515
34	294.7887644
35	293.4022187
36	292.1436622
37	290.5567043
38	289.2094898
39	287.7542682
40	286.0080773
41	284.8649415
42	283.5572758
43	282.4241618
44	281.2080902
45	280.2979677
46	279.1649141
47	278.1052603
48	277.2293142
49	275.7217938
50	274.7507473
51	273.7299809
52	272.4573053
53	271.567025
54	269.9921621
55	268.5804519
56	267.2997325
57	265.5479067
58	265.0073064
59	264.0711492
60	263.1192842
61	262.4893774
62	261.6275806
63	260.6932385
64	259.6422158
65	259.0294447
66	258.0555697
67	257.0782271
68	256.558441
69	255.5289668
70	254.6171771
71	253.87422
72	252.7123485
73	251.8654899
74	251.0687039
75	250.3559011
76	249.8495371
77	248.6852943
78	248.341415
79	247.9365037
80	246.6315526
81	245.9077292
82	245.1186325
83	244.0470847
84	243.3542575
85	242.8803241
86	241.9716254
87	241.6654328
88	240.4366025
89	239.7910592
90	239.0552181
91	238.0505043
92	237.2734346
93	236.6992094
94	235.9571764
95	235.2262144
96	234.1721461
97	233.58414
98	232.9712457
99	232.5580552
100	232.0557541
101	231.6110914
102	231.1912596
103	230.4286693
104	229.4531017
105	228.8176159
106	228.0172936
107	227.4387174
108	226.8587657
109	226.1607267
110	225.4528307
111	224.8725152
112	224.4746143
113	224.0026727
114	223.3986329
115	223.0677876
116	222.4975289
117	222.0791844
118	221.7856675
119	221.0480602
120	220.6135284
121	220.1317139
122	219.4225227
123	219.0492576
124	218.7446308
125	218.0203645
126	217.5544135
127	216.7975145
128	215.8099919
129	215.1684457
130	214.4193012
131	213.9719203
132	213.5054799
133	213.2922309
134	212.6046921
135	212.1985264
136	211.5493092
137	211.1273349
138	210.72638
139	210.0016755
140	209.5610583
141	209.1192084
142	208.5633979
143	207.8599864
144	207.6089046
145	207.302083
146	206.8893722
147	206.3420586
148	205.7681978
149	205.438101
