iter	Passed	Remaining
0	0	72
1	0	51
2	0	43
3	1	38
4	1	37
5	1	35
6	1	34
7	1	33
8	2	32
9	2	32
10	2	32
11	2	31
12	2	31
13	3	30
14	3	30
15	3	29
16	3	29
17	3	29
18	4	29
19	4	28
20	4	28
21	4	28
22	5	27
23	5	27
24	5	27
25	5	26
26	5	26
27	6	26
28	6	26
29	6	25
30	6	25
31	6	25
32	7	25
33	7	25
34	7	24
35	7	24
36	7	24
37	8	23
38	8	23
39	8	23
40	8	23
41	8	22
42	9	22
43	9	22
44	9	22
45	9	21
46	9	21
47	10	21
48	10	21
49	10	21
50	10	20
51	11	20
52	11	20
53	11	20
54	11	20
55	12	20
56	12	20
57	13	21
58	13	21
59	13	20
60	14	20
61	14	20
62	14	20
63	14	19
64	15	19
65	15	19
66	15	19
67	15	18
68	15	18
69	16	18
70	16	18
71	16	17
72	16	17
73	17	17
74	17	17
75	17	17
76	17	16
77	18	16
78	18	16
79	18	16
80	18	16
81	19	15
82	19	15
83	19	15
84	19	15
85	19	14
86	20	14
87	20	14
88	20	14
89	20	13
90	21	13
91	21	13
92	21	13
93	21	12
94	21	12
95	22	12
96	22	12
97	22	11
98	22	11
99	22	11
100	23	11
101	23	11
102	23	10
103	23	10
104	24	10
105	24	10
106	24	9
107	24	9
108	24	9
109	25	9
110	25	8
111	25	8
112	25	8
113	25	8
114	26	7
115	26	7
116	26	7
117	26	7
118	27	7
119	28	7
120	28	6
121	28	6
122	29	6
123	29	6
124	29	5
125	29	5
126	30	5
127	30	5
128	30	4
129	30	4
130	30	4
131	31	4
132	31	4
133	31	3
134	31	3
135	32	3
136	32	3
137	32	2
138	33	2
139	33	2
140	33	2
141	33	1
142	34	1
143	34	1
144	34	1
145	34	0
146	35	0
147	35	0
148	35	0
149	35	0
