date,就餐人数,销售总额,热量需求,碳水需求,蛋白质需求,脂肪需求,膳食纤维需求
2022-09-02,352,3103.36,243791.73,27425.34,11697.5,8906.37,2183.29
2022-09-05,322,3051.94,238063.42,25412.88,12190.7,9256.4,1787.89
2022-09-06,303,3015.5099999999998,248795.82,28592.0,12214.73,9487.61,2352.78
2022-09-07,285,2825.57,266191.77,27411.37,14647.24,10695.84,2478.81
2022-09-08,285,2831.52,211671.3,25080.25,11424.46,7555.01,2356.21
2022-09-09,305,3932.13,252235.26,25129.98,14776.47,10155.33,2494.5
2022-09-13,257,3018.64,221555.4,21828.05,12080.96,9227.61,2013.95
2022-09-14,246,2781.88,218626.36,22189.51,13801.67,8161.62,2162.94
2022-09-15,193,2136.93,152562.57,17986.31,8268.07,5105.4,1112.66
2022-09-16,239,2497.23,178631.36,19849.56,9753.96,6422.21,1193.32
2022-09-19,263,3070.42,178766.0,20993.33,9284.08,6269.0,1853.34
2022-09-20,295,3011.49,229241.29,24638.33,11323.65,9067.73,1570.03
2022-09-21,263,2735.08,204619.83,23103.34,9375.3,8218.11,1826.71
2022-09-22,282,3465.01,201760.72,21589.38,10800.43,7990.18,1445.62
2022-09-23,290,3213.38,219670.34,24327.42,11656.81,8045.83,2035.51
2022-09-26,280,2841.32,199006.0,22251.55,11033.18,7172.97,1328.22
2022-09-27,280,3083.68,217739.36,22175.83,12166.35,8610.02,1824.02
2022-09-28,273,3272.35,201099.93,22649.53,10220.76,7866.09,1795.5
2022-09-29,293,3141.95,215569.87,26448.31,10383.42,7339.67,2052.58
2022-09-30,239,3080.84,155531.37,16992.08,8738.35,5584.7,1220.17
2022-10-08,275,3036.7,223775.8,24139.58,12106.02,8638.5,1805.58
2022-10-09,261,2687.21,188881.11000000002,21722.14,9366.15,7137.32,1673.5
2022-10-10,303,3460.88,195784.09,23710.76,10726.19,6555.1,2023.43
2022-10-11,247,3004.61,210385.4,23477.64,10976.86,7939.29,1722.69
2022-10-12,266,2975.58,209694.54,22050.46,11528.51,8376.26,1690.0
2022-10-13,262,2931.06,185552.1,21864.07,10087.36,6279.17,1499.99
2022-10-14,249,2701.42,227482.08,26733.42,10476.74,8571.88,2089.77
