dish_serial,dish_name,总销售重量g,总销售额,出现订单数,平均单价,热量总量,碳水总量,蛋白质总量,脂肪总量,膳食纤维总量,总销售重量kg,重量占比,销售额占比
26_49550527234707456,葱油鸡,168459,7140.84,2130,4.23634810710988,336918.0,3369.18,33691.8,20215.08,0.0,168.459,0.02720167596646775,0.05014377774173094
26_47379061760200704,米饭,2402890,5157.61,12036,0.21462053571428574,3123757.0,677615.19,64881.79,7206.4800000000005,9611.61,2402.89,0.3880032243042265,0.03621731470226597
26_52095219390353408,大排,86788,4615.9,1059,5.321475256769374,216970.0,4339.4,17357.6,13018.2,0.0,86.788,0.014013968109616009,0.032413366449613186
26_53533575408128000,盐水虾,63877,4462.69,1222,6.989070146818924,63238.23,0.0,15330.48,191.51,0.0,63.877,0.01031444716940063,0.03133750868108587
26_53534016422416384,扎肉,55792,4263.84,763,7.642282749675745,139480.0,2789.6,8368.8,10042.56,557.92,55.792,0.009008933363733424,0.02994116172415319
26_49915420467138560,牛肉,18182,3011.71,395,16.5725,45455.0,363.64,4727.32,2909.12,0.0,18.182,0.002935912432237617,0.021148564715432427
26_55002413094014976,茭白肉丝小炒,59834,2659.32,1038,4.471102661596959,107701.2,8975.1,7180.08,4786.72,1795.02,59.834,0.009661609529782508,0.018674042693036103
26_48461646162694144,油豆腐烧肉,81886,2331.42,1080,2.8822615803814715,180149.2,6550.88,9826.32,12282.9,1637.72,81.886,0.01322242467419478,0.016371492191762642
26_49903795932631040,葱油扇贝,27629,1996.52,362,7.272176308539946,41443.5,1381.45,5525.8,1657.74,0.0,27.629,0.004461353238933732,0.014019786906991426
26_54251333280206848,红烧排骨,36049,1887.85,565,5.220383275261324,90122.5,1802.45,7209.8,5407.35,0.0,36.049,0.0058209606902284595,0.013256694003748404
26_49181446346248192,花椒排骨,36353,1844.72,543,5.087422303473492,116329.6,1817.65,9088.25,7997.66,363.53,36.353,0.005870048655215823,0.012953830316282944
26_63677854537355264,培红菜蘑菇毛豆肉丝,38551,1801.1,672,4.675813609467456,123363.2,5782.65,9637.75,6939.18,1542.04,38.551,0.006224967559959981,0.01264752579397264
26_54619665208578048,千张结烧肉,36072,1754.78,613,4.861806656101427,90180.0,3607.2,5410.8,6492.96,721.44,36.072,0.005824674582316319,0.012322261569456061
26_54255659977412608,付皮包,48680,1733.68,645,3.561633281972265,121700.0,17038.0,4868.0,3894.4,973.6,48.68,0.007860533340739587,0.012174095007769968
26_53896969558560768,家常豆腐,66266,1731.75,1120,2.6115070921985817,76868.56,2849.22,8084.52,4041.96,397.48,66.266,0.010700207525830927,0.012160542331748443
26_51713064214597632,黄豆猪脚,37341,1712.53,507,4.604069767441861,70947.9,2240.46,7468.2,3734.1,746.82,37.341,0.006029584541424752,0.012025577340487462
26_60416170171437056,红烧带鱼,26513,1617.54,452,6.099779249448123,39769.5,1325.65,5302.6,1590.78,0.0,26.513,0.0042811487358880174,0.011358546928422912
26_64409617773498368,番茄炒蛋/红烧萝卜,80690,1576.25,884,1.9534768211920528,258208.0,20172.5,12103.5,14524.2,3227.6,80.69,0.013029302285626074,0.011068603926905434
26_52087588835692544,酱鸭,31595,1512.72,502,4.786301369863014,84358.65,947.85,5687.1,6319.0,0.0,31.595,0.005101757413735975,0.010622489156103657
26_48457672449724416,红烧排骨,30306,1471.68,406,4.9092009685230025,75765.0,1515.3,6061.2,4545.9,0.0,30.306,0.004893617983246794,0.01033430168256824
26_51414057911193600,卤鸭,31055,1433.25,456,4.614082969432315,74532.0,931.65,6211.0,5279.35,0.0,31.055,0.0050145616864557905,0.010064441921165559
26_54980308440846336,油爆虾,21494,1310.57,418,6.088836104513065,42988.0,1074.7,4298.8,2149.4,214.94,21.494,0.0034707128928894147,0.009202969229807742
26_52445796284633088,春卷,28668,1295.66,601,4.5157284768211925,71670.0,8600.4,2293.44,2866.8,573.36,28.668,0.004629124277163568,0.009098269540957523
26_47375739703660544,葱油娃娃菜,53802,1260.69,782,2.414980988593156,24210.9,2690.1,1076.04,1076.04,538.02,53.802,0.00868760096134904,0.008852706286826589
