indent_id,consume_time,consume_way,consume_money,payment_status,wallet_id,card_serial,user_phone_number,qr_code,is_upload,reduction_money,reduction_contant,calories,carbohydrates,protein,fat,fiber,_source_sheet,date,hour,weekday,month,meal_period
2,2022-09-02 10:38:39,3,7.87,1,,,,,0,0,无,962.32,118.65,42.14,31.97,5.81,indent_1,2022-09-02,10,4,9,lunch
3,2022-09-02 10:44:02,3,14.7,1,,,,,0,0,无,846.72,72.19,52.14,37.42,10.53,indent_1,2022-09-02,10,4,9,lunch
4,2022-09-02 10:46:15,3,6.93,1,,,,,0,0,无,458.95,65.38,20.08,12.43,8.37,indent_1,2022-09-02,10,4,9,lunch
5,2022-09-02 10:47:44,3,8.58,1,,,,,0,0,无,543.4,61.41,27.27,18.75,7.09,indent_1,2022-09-02,10,4,9,lunch
6,2022-09-02 10:48:12,3,3.61,1,,,,,0,0,无,122.84,6.65,11.1,6.03,1.4,indent_1,2022-09-02,10,4,9,lunch
7,2022-09-02 10:48:21,3,13.71,1,,,,,0,0,无,871.6,72.59,43.34,40.69,6.96,indent_1,2022-09-02,10,4,9,lunch
8,2022-09-02 10:48:50,3,11.66,1,,,,,0,0,无,804.0,70.27,51.55,33.76,10.97,indent_1,2022-09-02,10,4,9,lunch
9,2022-09-02 10:49:09,3,4.16,1,,,,,0,0,无,533.0,73.43,19.28,16.96,5.46,indent_1,2022-09-02,10,4,9,lunch
10,2022-09-02 10:49:50,3,2.74,1,,,,,0,0,无,398.9,83.04,10.96,2.57,3.31,indent_1,2022-09-02,10,4,9,lunch
11,2022-09-02 10:50:20,3,6.63,1,,,,,0,0,无,399.75,54.45,22.07,10.96,5.27,indent_1,2022-09-02,10,4,9,lunch
12,2022-09-02 10:51:11,3,5.54,1,,,,,0,0,无,582.4,73.18,20.41,19.88,5.37,indent_1,2022-09-02,10,4,9,lunch
13,2022-09-02 10:51:27,3,8.71,1,,,,,0,0,无,820.96,102.51,33.22,27.37,8.31,indent_1,2022-09-02,10,4,9,lunch
14,2022-09-02 10:51:43,3,11.33,1,,,,,0,0,无,762.95,79.79,36.8,29.66,7.24,indent_1,2022-09-02,10,4,9,lunch
15,2022-09-02 10:51:54,3,6.45,1,,,,,0,0,无,448.6,56.79,24.26,13.67,3.48,indent_1,2022-09-02,10,4,9,lunch
16,2022-09-02 10:53:19,3,4.77,1,,,,,0,0,无,465.8,76.0,16.53,10.34,7.05,indent_1,2022-09-02,10,4,9,lunch
17,2022-09-02 10:54:03,3,5.52,1,,,,,0,0,无,423.62,67.01,20.8,7.69,3.91,indent_1,2022-09-02,10,4,9,lunch
18,2022-09-02 10:54:09,3,4.92,1,,,,,0,0,无,430.84,61.48,17.02,12.33,5.28,indent_1,2022-09-02,10,4,9,lunch
19,2022-09-02 10:56:17,3,11.2,1,,,,,0,0,无,782.7,96.64,32.78,26.34,11.17,indent_1,2022-09-02,10,4,9,lunch
20,2022-09-02 10:56:38,3,6.07,1,,,,,0,0,无,502.55,50.08,19.79,22.15,3.6,indent_1,2022-09-02,10,4,9,lunch
21,2022-09-02 10:57:02,3,9.93,1,,,,,0,0,无,791.8,78.63,49.93,30.6,11.23,indent_1,2022-09-02,10,4,9,lunch
22,2022-09-02 10:57:12,3,7.8,1,,,,,0,0,无,627.44,98.03,23.3,13.82,9.8,indent_1,2022-09-02,10,4,9,lunch
23,2022-09-02 10:57:37,3,4.47,1,,,,,0,0,无,527.26,63.97,29.5,16.44,3.69,indent_1,2022-09-02,10,4,9,lunch
24,2022-09-02 10:57:58,3,8.49,1,,,,,0,0,无,821.84,85.33,52.32,29.12,6.96,indent_1,2022-09-02,10,4,9,lunch
25,2022-09-02 10:58:01,3,8.95,1,,,,,0,0,无,824.0,86.26,39.44,32.88,6.95,indent_1,2022-09-02,10,4,9,lunch
26,2022-09-02 10:58:38,2,9.93,1,,,,,0,35,无,1315.52,185.83,77.6,34.5,27.98,indent_1,2022-09-02,10,4,9,lunch
27,2022-09-02 11:00:09,3,9.5,1,,,,,0,0,无,518.72,54.83,30.34,18.52,4.28,indent_1,2022-09-02,11,4,9,lunch
28,2022-09-02 11:01:25,3,10.27,1,,,,,0,0,无,841.55,94.42,35.12,31.7,7.07,indent_1,2022-09-02,11,4,9,lunch
29,2022-09-02 11:02:03,3,12.28,1,,,,,0,0,无,831.65,42.97,53.87,47.56,10.54,indent_1,2022-09-02,11,4,9,lunch
30,2022-09-02 11:02:13,2,3.68,1,,,,,0,2,无,448.33,53.84,21.17,15.88,4.9,indent_1,2022-09-02,11,4,9,lunch
31,2022-09-02 11:02:18,3,8.58,1,,,,,0,0,无,562.94,56.36,40.8,19.59,3.52,indent_1,2022-09-02,11,4,9,lunch
32,2022-09-02 11:02:37,3,9.18,1,,,,,0,0,无,1046.38,139.04,37.51,32.57,7.93,indent_1,2022-09-02,11,4,9,lunch
33,2022-09-02 11:03:58,3,6.79,1,,,,,0,0,无,655.7,73.66,24.81,25.8,6.74,indent_1,2022-09-02,11,4,9,lunch
34,2022-09-02 11:04:18,3,18.28,1,,,,,0,0,无,710.85,62.09,49.64,31.51,17.61,indent_1,2022-09-02,11,4,9,lunch
35,2022-09-02 11:04:42,3,10.57,1,,,,,0,0,无,993.4,95.7,42.84,43.66,8.79,indent_1,2022-09-02,11,4,9,lunch
36,2022-09-02 11:04:49,3,9.15,1,,,,,0,0,无,842.35,74.24,43.59,38.27,6.5,indent_1,2022-09-02,11,4,9,lunch
37,2022-09-02 11:05:15,3,8.74,1,,,,,0,0,无,899.4,123.59,46.16,24.4,9.94,indent_1,2022-09-02,11,4,9,lunch
38,2022-09-02 11:05:20,3,8.83,1,,,,,0,0,无,971.12,125.93,34.12,31.66,5.05,indent_1,2022-09-02,11,4,9,lunch
39,2022-09-02 11:05:32,3,6.79,1,,,,,0,0,无,398.9,55.82,20.31,10.21,3.56,indent_1,2022-09-02,11,4,9,lunch
40,2022-09-02 11:05:36,3,5.73,1,,,,,0,0,无,289.34,24.38,21.48,11.9,2.68,indent_1,2022-09-02,11,4,9,lunch
41,2022-09-02 11:05:51,3,10.49,1,,,,,0,0,无,648.25,57.71,39.45,27.82,8.83,indent_1,2022-09-02,11,4,9,lunch
42,2022-09-02 11:06:01,3,7.62,1,,,,,0,0,无,543.56,65.29,34.1,15.59,4.31,indent_1,2022-09-02,11,4,9,lunch
43,2022-09-02 11:06:28,3,9.89,1,,,,,0,0,无,777.12,86.06,32.42,28.8,6.49,indent_1,2022-09-02,11,4,9,lunch
44,2022-09-02 11:06:38,3,6.22,1,,,,,0,0,无,287.84,43.68,16.74,5.04,2.11,indent_1,2022-09-02,11,4,9,lunch
45,2022-09-02 11:06:41,3,5.43,1,,,,,0,0,无,540.4,85.16,20.39,11.25,5.55,indent_1,2022-09-02,11,4,9,lunch
46,2022-09-02 11:06:51,3,4.99,1,,,,,0,0,无,320.56,38.24,17.84,10.2,2.06,indent_1,2022-09-02,11,4,9,lunch
47,2022-09-02 11:07:00,3,7.69,1,,,,,0,0,无,461.5,68.14,23.76,10.97,6.87,indent_1,2022-09-02,11,4,9,lunch
48,2022-09-02 11:07:22,3,13.43,1,,,,,0,0,无,1237.3,129.72,46.07,52.44,8.41,indent_1,2022-09-02,11,4,9,lunch
49,2022-09-02 11:07:34,3,16.67,1,,,,,0,0,无,1360.4,110.12,55.72,67.27,7.06,indent_1,2022-09-02,11,4,9,lunch
50,2022-09-02 11:07:43,3,8.5,1,,,,,0,0,无,482.6,55.26,29.08,14.82,2.52,indent_1,2022-09-02,11,4,9,lunch
51,2022-09-02 11:07:53,3,7.19,1,,,,,0,0,无,634.65,87.53,25.28,18.41,5.35,indent_1,2022-09-02,11,4,9,lunch
52,2022-09-02 11:08:04,3,9.57,1,,,,,0,0,无,621.25,73.02,30.31,21.55,7.08,indent_1,2022-09-02,11,4,9,lunch
53,2022-09-02 11:08:13,3,8.03,1,,,,,0,0,无,686.75,73.92,27.97,27.29,4.38,indent_1,2022-09-02,11,4,9,lunch
54,2022-09-02 11:08:22,3,9.57,1,,,,,0,0,无,704.95,93.53,41.78,18.1,3.92,indent_1,2022-09-02,11,4,9,lunch
55,2022-09-02 11:08:30,3,11.74,1,,,,,0,0,无,1109.7,110.45,41.83,48.09,8.71,indent_1,2022-09-02,11,4,9,lunch
56,2022-09-02 11:08:40,3,13.3,1,,,,,0,0,无,993.8,78.94,47.42,47.7,5.95,indent_1,2022-09-02,11,4,9,lunch
57,2022-09-02 11:08:52,3,13.43,1,,,,,0,0,无,1120.08,119.77,50.9,42.71,5.26,indent_1,2022-09-02,11,4,9,lunch
58,2022-09-02 11:09:06,3,9.75,1,,,,,0,0,无,967.99,123.98,45.05,31.14,9.84,indent_1,2022-09-02,11,4,9,lunch
59,2022-09-02 11:09:17,3,12.33,1,,,,,0,0,无,1007.6,96.63,42.57,44.32,9.78,indent_1,2022-09-02,11,4,9,lunch
60,2022-09-02 11:09:20,3,8.51,1,,,,,0,0,无,806.55,92.4,37.35,29.32,7.08,indent_1,2022-09-02,11,4,9,lunch
61,2022-09-02 11:09:34,3,8.32,1,,,,,0,0,无,608.68,59.2,27.08,25.05,4.08,indent_1,2022-09-02,11,4,9,lunch
62,2022-09-02 11:09:38,3,8.77,1,,,,,0,0,无,665.54,85.66,26.0,21.9,7.17,indent_1,2022-09-02,11,4,9,lunch
63,2022-09-02 11:09:46,3,7.41,1,,,,,0,0,无,751.5,99.95,36.01,22.59,9.21,indent_1,2022-09-02,11,4,9,lunch
64,2022-09-02 11:09:53,3,13.34,1,,,,,0,0,无,1254.7,118.85,66.41,51.92,7.69,indent_1,2022-09-02,11,4,9,lunch
65,2022-09-02 11:09:59,3,6.33,1,,,,,0,0,无,518.5,64.44,27.55,16.36,7.02,indent_1,2022-09-02,11,4,9,lunch
66,2022-09-02 11:10:04,3,12.51,1,,,,,0,0,无,983.9,101.42,42.79,39.85,8.3,indent_1,2022-09-02,11,4,9,lunch
67,2022-09-02 11:10:22,3,10.51,1,,,,,0,0,无,930.88,118.44,48.62,28.49,11.99,indent_1,2022-09-02,11,4,9,lunch
68,2022-09-02 11:10:35,3,11.54,1,,,,,0,0,无,778.9,106.17,37.26,21.41,8.27,indent_1,2022-09-02,11,4,9,lunch
69,2022-09-02 11:10:39,3,5.71,1,,,,,0,0,无,225.65,18.79,14.37,10.27,5.19,indent_1,2022-09-02,11,4,9,lunch
70,2022-09-02 11:10:46,3,13.24,1,,,,,0,0,无,620.0,23.66,44.76,36.1,4.04,indent_1,2022-09-02,11,4,9,lunch
71,2022-09-02 11:10:56,3,8.06,1,,,,,0,0,无,805.3,83.28,40.68,31.91,5.58,indent_1,2022-09-02,11,4,9,lunch
72,2022-09-02 11:11:00,3,6.15,1,,,,,0,0,无,591.45,68.71,33.04,19.51,4.42,indent_1,2022-09-02,11,4,9,lunch
73,2022-09-02 11:11:06,3,6.96,1,,,,,0,0,无,517.1,60.14,29.45,16.79,4.64,indent_1,2022-09-02,11,4,9,lunch
74,2022-09-02 11:11:16,3,15.12,1,,,,,0,0,无,1236.8,80.16,62.02,65.98,6.82,indent_1,2022-09-02,11,4,9,lunch
75,2022-09-02 11:11:28,3,15.37,1,,,,,0,0,无,1069.05,107.77,49.72,44.05,9.26,indent_1,2022-09-02,11,4,9,lunch
