date,meal_period,就餐人数,销售总额,热量需求,碳水需求,蛋白质需求,脂肪需求,膳食纤维需求
2022-09-02,lunch,352,3103.36,243791.73,27425.34,11697.5,8906.37,2183.29
2022-09-05,lunch,322,3051.94,238063.42,25412.88,12190.7,9256.4,1787.89
2022-09-06,lunch,303,3015.5099999999998,248795.82,28592.0,12214.73,9487.61,2352.78
2022-09-07,lunch,285,2825.57,266191.77,27411.37,14647.24,10695.84,2478.81
2022-09-08,lunch,285,2831.52,211671.3,25080.25,11424.46,7555.01,2356.21
2022-09-09,dinner,1,134.49,2355.0,18.84,244.92,150.72,0.0
2022-09-09,lunch,304,3797.64,249880.26,25111.14,14531.55,10004.61,2494.5
2022-09-13,lunch,257,3018.64,221555.4,21828.05,12080.96,9227.61,2013.95
2022-09-14,lunch,246,2781.88,218626.36,22189.51,13801.67,8161.62,2162.94
2022-09-15,lunch,193,2136.93,152562.57,17986.31,8268.07,5105.4,1112.66
2022-09-16,lunch,239,2497.23,178631.36,19849.56,9753.96,6422.21,1193.32
2022-09-19,lunch,263,3070.42,178766.0,20993.33,9284.08,6269.0,1853.34
2022-09-20,lunch,295,3011.49,229241.29,24638.33,11323.65,9067.73,1570.03
2022-09-21,lunch,263,2735.08,204619.83,23103.34,9375.3,8218.11,1826.71
2022-09-22,lunch,282,3465.01,201760.72,21589.38,10800.43,7990.18,1445.62
2022-09-23,lunch,290,3213.38,219670.34,24327.42,11656.81,8045.83,2035.51
2022-09-26,lunch,280,2841.32,199006.0,22251.55,11033.18,7172.97,1328.22
2022-09-27,lunch,280,3083.68,217739.36,22175.83,12166.35,8610.02,1824.02
2022-09-28,lunch,273,3272.35,201099.93,22649.53,10220.76,7866.09,1795.5
2022-09-29,lunch,293,3141.95,215569.87,26448.31,10383.42,7339.67,2052.58
2022-09-30,lunch,239,3080.84,155531.37,16992.08,8738.35,5584.7,1220.17
2022-10-08,lunch,275,3036.7,223775.8,24139.58,12106.02,8638.5,1805.58
2022-10-09,lunch,261,2687.21,188881.11000000002,21722.14,9366.15,7137.32,1673.5
2022-10-10,lunch,303,3460.88,195784.09,23710.76,10726.19,6555.1,2023.43
2022-10-11,lunch,247,3004.61,210385.4,23477.64,10976.86,7939.29,1722.69
2022-10-12,lunch,266,2975.58,209694.54,22050.46,11528.51,8376.26,1690.0
2022-10-13,lunch,262,2931.06,185552.1,21864.07,10087.36,6279.17,1499.99
2022-10-14,lunch,249,2701.42,227482.08,26733.42,10476.74,8571.88,2089.77
2022-10-17,lunch,301,3130.04,213204.98,23742.17,11151.92,7955.09,1640.72
2022-10-18,lunch,305,3370.7,239401.35,27039.69,13074.08,8787.47,1717.05
2022-10-19,lunch,260,2981.13,234847.75,24092.329999999998,12248.39,9477.1,1840.55
2022-10-20,lunch,269,2985.58,192628.91,23358.95,10609.2,6264.69,1765.9
2022-10-21,lunch,245,2637.69,162587.41,19537.57,7744.81,5650.38,1387.24
2022-10-24,lunch,268,3054.78,221282.92,23923.52,11703.69,8517.63,1732.81
2022-10-25,lunch,277,3011.71,219786.13,24063.1,11132.960000000001,8683.54,1982.63
2022-10-26,lunch,259,2875.01,192589.41,21179.05,11060.92,6928.89,1550.82
2022-10-27,lunch,290,3318.33,212954.81,24355.72,11108.49,7648.55,1735.42
2022-10-28,lunch,238,2617.29,193722.71,22743.67,10366.94,6708.88,1546.12
2022-10-31,lunch,288,3451.4,238864.73,26591.34,12894.0,8765.1,2099.35
2022-11-01,lunch,276,2900.01,198578.64,22774.87,10356.61,7316.26,1710.28
2022-11-02,lunch,244,2623.57,182386.1,19695.19,10139.01,6757.88,1238.57
2022-11-03,lunch,279,3003.0,196670.63,23579.28,10085.1,6633.26,1748.29
2022-11-04,lunch,264,2850.96,222035.71,23906.14,11599.56,8566.93,1701.8799999999999
2022-11-08,lunch,265,2647.58,214452.27,24117.76,10493.960000000001,8215.35,2066.79
2022-11-09,lunch,233,2482.23,160280.53,18110.34,9229.83,5567.96,1046.05
2022-11-10,lunch,276,3037.8,226665.59,26041.16,11495.34,8182.98,1776.98
2022-11-11,lunch,281,3391.16,216512.06,21675.82,12639.79,8565.57,1662.77
2022-11-14,lunch,282,2969.99,225033.82,24582.64,11774.11,8619.83,1874.11
2022-11-15,lunch,248,2632.88,192598.73,20932.19,10395.43,7604.33,1964.77
2022-11-16,lunch,267,3018.69,182714.17,20078.84,11018.47,6383.91,1373.65
2022-11-17,lunch,303,3572.81,239590.28,26584.97,12464.35,9121.44,1757.75
2022-11-18,lunch,252,2787.97,199637.91,22924.53,10649.37,6926.53,1482.56
2022-11-21,lunch,261,2909.01,186646.06,20876.71,10126.78,6801.6,1391.42
2022-11-22,lunch,272,2977.77,229383.16,24194.26,12171.45,9098.45,1985.15
2022-11-23,lunch,257,3101.94,205745.39,24256.98,9838.93,7475.97,1836.49
2022-11-24,lunch,288,3039.84,199562.06,23013.31,11187.84,6827.72,1599.1
2022-11-25,lunch,282,2989.31,240900.04,26311.77,12240.47,9103.91,2026.36
2022-11-28,lunch,274,2866.12,208507.37,24510.95,10051.47,7589.17,1766.36
2022-11-29,lunch,256,2719.54,211081.75,23027.12,11096.72,8257.5,1942.46
2022-11-30,lunch,260,3004.59,193107.98,20717.01,11008.35,6894.5,1303.04
2022-12-01,lunch,284,3674.13,213413.24,24881.06,11304.92,7706.92,2006.75
2022-12-02,lunch,254,2849.12,222941.91,24133.75,11243.72,8664.25,1665.25
2022-12-05,lunch,266,3159.86,198124.02,20213.06,12294.45,7210.44,1343.95
