indent_details_id,indent_id,dish_serial,total_price,weight,unit_price,dish_name,calories_dish,carbohydrates_dish,protein_dish,fat_dish,fiber_dish,_source_sheet_dish,price_check,price_error,price_abnormal,consume_time,consume_way,consume_money,payment_status,wallet_id,card_serial,user_phone_number,qr_code,is_upload,reduction_money,reduction_contant,calories_order,carbohydrates_order,protein_order,fat_order,fiber_order,_source_sheet_order,date,hour,weekday,month,meal_period
1025,202,26_47375739703660544,0.76,43,1.76,葱油娃娃菜,19.35,2.15,0.86,0.86,0.43,indent_details_1,0.7568,0.0031999999999999806,False,2022-09-02 11:31:58,3,4.89,1,,,,,0,0,无,262.09,36.87,13.67,6.26,2.75,indent_1,2022-09-02,11,4,9,lunch
1026,202,26_47374676875415552,1.21,46,2.63,木耳西兰花,15.64,1.84,1.38,0.0,0.92,indent_details_1,1.2098,0.00019999999999997797,False,2022-09-02 11:31:58,3,4.89,1,,,,,0,0,无,262.09,36.87,13.67,6.26,2.75,indent_1,2022-09-02,11,4,9,lunch
1027,202,26_47372471472623616,0.81,50,1.62,肉末茄子,60.0,4.0,3.0,3.5,1.0,indent_details_1,0.81,0.0,False,2022-09-02 11:31:58,3,4.89,1,,,,,0,0,无,262.09,36.87,13.67,6.26,2.75,indent_1,2022-09-02,11,4,9,lunch
1028,202,26_47379061760200704,0.19,99,0.19,米饭,128.7,27.92,2.67,0.3,0.4,indent_details_1,0.1881,0.0019000000000000128,False,2022-09-02 11:31:58,3,4.89,1,,,,,0,0,无,262.09,36.87,13.67,6.26,2.75,indent_1,2022-09-02,11,4,9,lunch
1029,203,26_47373891743649792,0.9,15,6.0,酥鱼/红烧肉,67.5,2.25,3.0,4.5,0.3,indent_details_1,0.9,0.0,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1030,203,26_47376474050793472,1.08,27,4.0,香菇鸭块/雪蘑菇肉片,86.4,3.24,7.56,4.86,0.81,indent_details_1,1.08,0.0,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1031,203,26_47375739703660544,0.69,39,1.76,葱油娃娃菜,17.55,1.95,0.78,0.78,0.39,indent_details_1,0.6864,0.0035999999999999366,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1032,203,26_47374676875415552,0.82,31,2.63,木耳西兰花,10.54,1.24,0.93,0.0,0.62,indent_details_1,0.8153,0.0046999999999999265,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1033,203,26_47372471472623616,0.76,47,1.62,肉末茄子,56.4,3.76,2.82,3.29,0.94,indent_details_1,0.7614,0.0013999999999999568,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1034,203,26_47379061760200704,0.26,139,0.19,米饭,180.7,39.2,3.75,0.42,0.56,indent_details_1,0.2641,0.0040999999999999925,False,2022-09-02 11:32:09,3,4.51,1,,,,,0,0,无,419.09,51.64,18.84,13.85,3.62,indent_1,2022-09-02,11,4,9,lunch
1035,204,26_47373891743649792,2.94,49,6.0,酥鱼/红烧肉,220.5,7.35,9.8,14.7,0.98,indent_details_1,2.94,0.0,False,2022-09-02 11:32:13,3,8.38,1,,,,,0,0,无,747.94,74.45,34.59,31.91,4.95,indent_1,2022-09-02,11,4,9,lunch
1036,204,26_47392490109669376,1.62,27,6.0,小酥肉,67.5,4.05,2.7,4.86,0.27,indent_details_1,1.62,0.0,False,2022-09-02 11:32:13,3,8.38,1,,,,,0,0,无,747.94,74.45,34.59,31.91,4.95,indent_1,2022-09-02,11,4,9,lunch
1037,204,26_47376474050793472,1.92,48,4.0,香菇鸭块/雪蘑菇肉片,153.6,5.76,13.44,8.64,1.44,indent_details_1,1.92,0.0,False,2022-09-02 11:32:13,3,8.38,1,,,,,0,0,无,747.94,74.45,34.59,31.91,4.95,indent_1,2022-09-02,11,4,9,lunch
1038,204,26_47374676875415552,0.82,31,2.63,木耳西兰花,10.54,1.24,0.93,0.0,0.62,indent_details_1,0.8153,0.0046999999999999265,False,2022-09-02 11:32:13,3,8.38,1,,,,,0,0,无,747.94,74.45,34.59,31.91,4.95,indent_1,2022-09-02,11,4,9,lunch
