indent_id,订单总重量,订单总金额,订单菜品种类数,热量总量,碳水总量,蛋白质总量,脂肪总量,膳食纤维总量
1000,615,11.14,7,980.97,106.10999999999999,50.51,38.32,7.79
10000,739,13.25,5,1342.8,159.59,70.17,46.730000000000004,8.43
10001,563,8.97,3,990.0999999999999,118.7,53.33,32.6,6.04
10002,298,8.030000000000001,8,482.81,49.72,26.17,20.68,5.4799999999999995
10003,418,8.53,8,705.89,81.76,32.35,28.93,7.47
10004,1378,8.71,4,1917.81,365.09000000000003,53.27,23.39,8.83
10005,295,4.51,5,401.07,59.36,18.45,9.64,4.36
10006,416,10.37,7,514.86,59.900000000000006,33.05,16.57,5.16
10007,190,8.719999999999999,3,287.94,20.799999999999997,18.36,16.259999999999998,3.46
10008,394,8.57,5,552.49,71.99,27.419999999999998,15.670000000000002,4.35
10009,583,11.049999999999999,6,1036.44,118.28,55.019999999999996,38.11,8.68
1001,630,13.84,6,993.8199999999999,118.02,54.72,35.12,14.68
10010,394,7.7700000000000005,6,718.63,86.03999999999999,38.61,23.889999999999997,6.67
10011,478,9.2,7,787.03,90.61,39.66,28.23,6.32
10012,345,9.4,6,758.1,76.45,41.49,31.64,6.7299999999999995
10013,369,9.33,6,490.53,55.51,30.009999999999998,16.14,2.6399999999999997
10014,617,8.61,4,1242.1,145.85,56.16,47.97,11.17
10015,694,15.91,12,1061.81,125.06,51.199999999999996,39.7,11.43
10016,352,11.77,8,673.1,59.54,45.29,29.04,6.569999999999999
10017,341,11.38,12,578.51,46.35,38.01,27.69,5.21
10018,385,9.74,6,575.56,59.35000000000001,31.9,24.27,4.94
10019,420,10.219999999999999,6,470.37,54.269999999999996,32.99,12.370000000000001,3.2399999999999998
1002,791,11.39,5,1366.85,139.68,57.77,60.379999999999995,10.28
10020,607,18.49,4,1047.2,116.56,50.78,46.31999999999999,5.09
10021,401,11.83,7,607.3,55.72,45.01,22.68,2.85
10022,415,11.18,6,678.1800000000001,80.4,39.0,21.65,3.8
10023,550,11.78,4,1161.0,148.28,55.24,38.71,10.31
10024,482,9.33,4,723.5,96.96000000000001,30.15,23.7,5.390000000000001
10025,617,13.32,6,853.6600000000001,126.53,34.67,24.16,5.89
10026,575,14.51,6,1022.1,112.08,51.8,42.37,8.709999999999999
10027,513,10.19,6,836.8900000000001,95.75999999999999,43.69,31.94,5.9
10028,635,12.46,4,1046.67,127.91999999999999,48.150000000000006,40.36,7.13
10029,529,8.71,6,548.71,84.38,23.95,12.540000000000001,6.7
1003,428,8.84,6,808.3,85.68,46.66,29.28,7.6
10030,769,19.49,11,1153.97,132.5,57.92,45.78,10.79
10031,317,6.8100000000000005,6,348.17,41.65,18.43,12.41,4.42
10032,494,9.559999999999999,4,713.04,88.85000000000001,34.68,21.94,4.86
10033,628,13.42,6,986.1,127.72,47.07,33.37,9.89
10034,382,13.09,4,527.73,35.75,41.53,24.29,4.4399999999999995
10035,303,7.12,5,585.87,48.44,36.39,27.26,4.7
10036,420,9.1,5,608.4,92.94,27.72,12.89,4.6
10037,227,9.48,3,257.8,6.36,30.48,11.99,0.94
10038,535,12.67,5,1182.8,133.77,53.769999999999996,49.91,8.82
10039,396,8.379999999999999,6,796.44,87.96000000000001,39.230000000000004,32.07,7.99
1004,659,12.9,4,1224.5,110.59,63.59,56.34,7.65
10040,644,13.32,6,781.3100000000001,92.76,41.67,25.66,4.11
10041,556,13.59,5,1100.6,109.57,65.65,45.1,9.48
10042,679,11.06,6,861.54,129.38,39.95,20.04,7.34
10043,659,12.83,5,870.63,128.67000000000002,38.37,22.310000000000002,7.65
10044,646,12.58,6,1088.08,154.33999999999997,46.98,31.83,9.81
10045,355,10.01,7,537.34,56.73,37.190000000000005,16.49,4.28
10046,560,8.88,7,923.8199999999999,135.23,38.24,25.67,7.16
10047,733,13.12,7,1086.1399999999999,137.35,56.2,32.01,7.199999999999999
10048,482,9.52,7,739.74,89.21,41.35,22.520000000000003,4.78
10049,347,7.909999999999999,6,438.31,60.540000000000006,22.6,10.74,3.08
1005,497,9.399999999999999,4,1110.5,105.1,76.34,40.49,8.32
10050,279,10.41,5,672.2,38.18,47.78,36.91,5.72
10051,526,6.77,4,799.1,122.22,31.410000000000004,18.61,5.46
10052,635,13.28,7,970.9100000000001,115.4,48.59,33.839999999999996,7.640000000000001
10053,470,16.17,7,677.7,63.61,41.28,27.240000000000002,5.16
10054,606,10.780000000000001,5,1009.4000000000001,128.42,51.330000000000005,29.33,6.390000000000001
10055,269,6.22,6,346.44,49.88,14.969999999999999,10.559999999999999,2.97
10056,631,20.790000000000003,9,1237.02,87.15,88.44,59.47,7.42
10057,481,10.549999999999999,7,729.41,82.47,46.41,21.330000000000002,1.69
10058,634,13.29,6,876.75,98.81,49.52,29.080000000000002,5.76
10059,581,10.85,4,1141.6,138.39,54.82,40.96,10.31
1006,603,11.129999999999999,6,1023.9300000000001,98.47,51.06,45.73,9.52
10060,502,8.74,5,638.07,84.73,33.78,16.8,3.04
