date,dish_name,abc_class,prepare_weight_kg,price_per_100g,estimated_profit,preference_weight_new,association_strength_norm
2025-05-06,油豆腐烧肉,A,23.0,2.847153,229.195845,0.177626,0.90877
2025-05-06,家常豆腐,A,23.0,2.613331,210.373155,0.177892,0.91239
2025-05-06,葱油娃娃菜,A,23.0,2.343203,188.62783,0.162502,0.88748
2025-05-06,米饭,A,22.5,0.214642,16.903054,0.604771,0.0
2025-05-06,茭白肉丝小炒,A,21.0,4.444496,326.670488,0.175521,0.917634
2025-05-06,盐水虾,A,11.6,6.98638,283.647031,0.175946,0.879944
2025-05-06,酸辣土豆丝,A,10.9,1.506373,57.468132,0.15814,0.896508
2025-05-06,小青菜,A,6.9,1.608679,38.849604,0.160504,0.925123
2025-05-06,番茄炒蛋/红烧萝卜,A,5.8,1.953464,39.655317,0.171992,0.912367
2025-05-06,红烧排骨,A,3.1,4.856068,52.688339,0.147753,0.881796
2025-05-06,付皮包,A,1.5,3.56138,18.697247,0.157187,0.883581
2025-05-06,春卷,A,1.4,4.519534,22.145716,0.159454,0.920684
2025-05-06,雪菜蛋饺,B,0.2,3.800987,2.660691,0.152606,0.957155
2025-05-06,莴苣,B,0.2,2.600333,1.820233,0.148634,0.951304
2025-05-06,大白菜/豆芽,B,0.2,1.650507,1.155355,0.150605,0.932402
2025-05-06,土豆丝/小青菜,B,0.2,1.62048,1.134336,0.148574,0.89021
2025-05-06,土豆丝/青菜,B,0.2,1.599051,1.119336,0.151252,0.947795
2025-05-06,白菜油付,B,0.2,1.574268,1.101987,0.151899,0.957119
2025-05-06,青菜,B,0.2,1.454398,1.018079,0.15593,1.0
2025-05-07,油豆腐烧肉,A,22.9,2.847153,228.199342,0.177626,0.90877
2025-05-07,家常豆腐,A,22.9,2.613331,209.458489,0.177892,0.91239
2025-05-07,葱油娃娃菜,A,22.9,2.343203,187.807709,0.162502,0.88748
2025-05-07,米饭,A,22.9,0.214642,17.203552,0.604771,0.0
2025-05-07,茭白肉丝小炒,A,15.4,4.444496,239.558358,0.175521,0.917634
2025-05-07,盐水虾,A,14.3,6.98638,349.668323,0.175946,0.879944
2025-05-07,酸辣土豆丝,A,12.6,1.506373,66.431052,0.15814,0.896508
2025-05-07,小青菜,A,6.8,1.608679,38.286566,0.160504,0.925123
2025-05-07,番茄炒蛋/红烧萝卜,A,6.1,1.953464,41.706454,0.171992,0.912367
2025-05-07,红烧排骨,A,3.1,4.856068,52.688339,0.147753,0.881796
2025-05-07,付皮包,A,1.5,3.56138,18.697247,0.157187,0.883581
