dish_name,weight_share,order_penetration,abc_class,association_strength,association_strength_norm,preference_weight_old,preference_weight_new
米饭,0.3880032243042265,0.9299235107780267,A,0.0,0.0,0.6047713388937466,0.6047713388937466
葱油鸡,0.0272016759664677,0.16456772000309047,A,0.0,0.0,0.08214809358111681,0.08214809358111681
大排,0.014013968109616,0.081820288959283,A,0.0,0.0,0.04113649644948281,0.04113649644948281
油豆腐烧肉,0.0132224246741947,0.08344278760720081,A,0.9649172749241985,0.9087697546210054,0.041310569847397144,0.17762603304054794
番茄炒蛋/红烧萝卜,0.013029302285626,0.0682994668933014,A,0.9687366192543898,0.912366855325865,0.03513736812869616,0.1719923964275759
家常豆腐,0.0107002075258309,0.08653326122228232,A,0.9687613615361399,0.9123901578802903,0.04103342900441147,0.17789195268645502
盐水虾,0.0103144471694006,0.09441396894074017,A,0.934310783904983,0.8799442230897895,0.04395425587793643,0.17594588934140487
茭白肉丝小炒,0.0096616095297825,0.08019779031136522,A,0.9743287268242556,0.9176335640439575,0.03787608184241559,0.1755211164490092
扎肉,0.0090089333637334,0.058950784207679824,A,0.9364772610271961,0.8819846351892622,0.02898567370131197,0.1612833689797013
葱油娃娃菜,0.008687600961349,0.060418759174843545,A,0.9423125629684688,0.8874803870543394,0.02938006424674682,0.16250212230489774
付皮包,0.0078605333407395,0.04983388704318937,A,0.9381726026447539,0.8835813266630549,0.02464987482171945,0.1571870738211777
花菜,0.0078017569616099,0.05361971722166422,A,0.9817438837948136,0.9246172408375349,0.026128941065631628,0.16482152719126186
葱油芋头/红烧萝卜,0.0076323711876897,0.046511627906976744,A,0.9607665526358495,0.904860558492478,0.02318407387540452,0.15891315764927622
包菜粉丝,0.0072915004834518,0.04303484509001004,A,0.0,0.0,0.021588838326075097,0.021588838326075097
木耳娃娃菜,0.0069578960898206,0.051070076489221974,A,0.0,0.0,0.02460276824958115,0.02460276824958115
木耳莴笋,0.0064434412988675,0.05400602642354941,A,0.9414287790474966,0.8866480295892261,0.025468475348740263,0.15846567978712417
酸辣土豆丝,0.006372231454922,0.04960210152205825,A,0.9518974125136422,0.8965075042960022,0.0236641794817765,0.15814030512617683
培红菜蘑菇毛豆肉丝,0.0062249675599599,0.05191995673336939,A,0.9482142933680063,0.893038701975635,0.024502963229323698,0.15845876852566892
黄豆猪脚,0.0060295845414247,0.03917175307115815,A,0.0,0.0,0.019286451953318084,0.019286451953318084
小青菜,0.0059906694112867,0.04535270030132118,A,0.9822812296432619,0.9251233190968131,0.02173548176730049,0.16050397963182247
三色绿豆芽,0.0058724707587513,0.05431507378505756,A,0.9393045245043044,0.8846473831813555,0.025249511969273806,0.15794661944647712
花椒排骨,0.0058700486552158,0.04195317932473151,A,0.0,0.0,0.020303300923022086,0.020303300923022086
千张结烧肉,0.0058246745823163,0.04736150815112416,A,0.0,0.0,0.022439408009839446,0.022439408009839446
红烧排骨,0.0058209606902284,0.04365293981302635,A,0.9362767969841828,0.8817958359378508,0.020953752339347577,0.1532231277300252
豆芽/木耳青菜,0.0052225396433759,0.03523139921192923,A,0.0,0.0,0.01722608347079723,0.01722608347079723
酱鸭,0.0051017574137359,0.03878544386927297,A,0.0,0.0,0.01857523199595073,0.01857523199595073
卤鸭,0.0050145616864557,0.03523139921192923,A,0.0,0.0,0.01710129669664511,0.01710129669664511
红烧排骨,0.0048936179832467,0.03136830719307734,A,0.9362767969841828,0.8817958359378508,0.015483493667178955,0.1477528690578566
西葫芦炒鸡蛋/肉末茄,0.0047229404207742,0.02959128486440547,A,0.97672995280169,0.9198950652099243,0.01467027819822671,0.15265453797971534
水波蛋,0.0046481781583099,0.02194236266707873,A,0.0,0.0,0.011565851961817432,0.011565851961817432
春卷,0.0046291242771635,0.04643436606659971,A,0.9775672083972057,0.9206836017838514,0.021351220992937986,0.1594537612605157
芹菜香干,0.0045853649399544,0.04179865564397744,A,0.951978981164163,0.8965843265526297,0.019470681221563618,0.15395833020445807
油麦菜,0.0044846054328751,0.03785830178474851,A,0.9313734431856449,0.8771778031342954,0.017834083973624466,0.14941075444376875
虎皮蛋烧肉,0.0044779850165445,0.03384068608514255,A,0.9469384428187881,0.8918370918265813,0.01622306544398372,0.1499986292179709
葱油扇贝,0.0044613532389337,0.027968786216487677,A,0.0,0.0,0.013864326429955292,0.013864326429955292
青椒水面筋,0.004449727141963,0.0404852043575678,A,0.0,0.0,0.01886391802820492,0.01886391802820492
虎皮尖椒/西葫芦炒蛋,0.0043928884456618,0.02928223750289732,A,0.9649322072744646,0.9087838180735313,0.014348628068556009,0.15066620077958567
红烧带鱼,0.004281148735888,0.03492235185042108,A,0.9914913155955946,0.9337974798445282,0.016537629981701232,0.15660725195838043
