价位,套餐名称,方法,菜品组合,菜品数量,总价格/元,热量/kcal,碳水/g,蛋白质/g,脂肪/g,膳食纤维/g,偏好得分,预计利润/元,营养均衡得分,价格偏差/元,综合评分,是否放宽价格
15,15元均衡能量套餐,NSGA-II,付皮包、葱油芋头/红烧萝卜、椒盐带鱼、素烧鹅,4,14.996,730.0,85.6,36.5,29.2,8.3,0.74403,5.248,0.9457,0.004,0.8046,否
15,15元均衡能量套餐,NSGA-II,花菜、付皮包、青瓜付竹肉片、糖醋里脊,4,14.946,705.0,74.2,39.5,26.2,8.5,0.784389,5.231,0.9328,0.054,0.7745,否
15,15元均衡能量套餐,NSGA-II,付皮包、千张结烧肉、包菜粉丝、青瓜付竹肉片,4,14.945,770.0,78.0,39.0,35.0,9.0,0.820681,5.231,0.898,0.055,0.7677,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、付皮包、葱油芋头/红烧萝卜、椒盐带鱼,4,15.135,800.0,73.6,43.5,38.2,8.3,0.934237,5.297,0.8598,0.135,0.7651,否
15,15元均衡能量套餐,NSGA-II,花菜、付皮包、椒盐带鱼、青韭南瓜丝,4,14.968,523.0,56.9,33.699,19.7,7.3,0.769426,5.239,0.8894,0.032,0.7553,否
15,15元均衡能量套餐,NSGA-II,付皮包、青瓜付竹肉片、糖醋里脊、白菜千张丝,4,15.009,800.0,80.0,45.0,31.0,9.0,0.670834,5.253,0.8928,0.009,0.7302,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、花菜、千张结烧肉、青瓜付竹肉片,4,14.946,675.0,37.2,41.5,41.2,9.5,0.94292,5.231,0.7476,0.054,0.7247,否
15,15元均衡能量套餐,NSGA-II,付皮包、葱油芋头/红烧萝卜、椒盐带鱼、凉拌黑木耳/素烧鹅,4,14.959,700.0,80.6,37.5,27.2,11.3,0.630244,5.236,0.9535,0.041,0.7229,否
15,15元均衡能量套餐,NSGA-II,付皮包、青瓜付竹肉片、糖醋里脊、素烧鹅,4,15.054,830.0,90.0,42.0,32.0,8.0,0.676849,5.269,0.9134,0.054,0.7216,否
15,15元均衡能量套餐,NSGA-II,付皮包、葱油芋头/红烧萝卜、椒盐带鱼、青椒藕片,4,14.852,653.0,80.6,33.5,23.4,9.3,0.752643,5.198,0.9815,0.148,0.7135,否
15,15元均衡能量套餐,NSGA-II,付皮包、青瓜付竹肉片、糖醋里脊、青椒藕片,4,14.91,753.0,85.0,39.0,26.2,9.0,0.685463,5.218,0.9497,0.09,0.7069,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、葱油金针菇、椒盐带鱼、素烧鹅,4,15.013,555.0,39.0,37.0,29.0,6.0,0.787064,5.255,0.7755,0.013,0.7044,否
15,15元均衡能量套餐,NSGA-II,葱油芋头/红烧萝卜、青瓜付竹肉片、椒盐带鱼、包菜油付/绿豆芽,4,15.011,630.0,55.901,38.7,30.7,11.1,0.664245,5.254,0.8607,0.011,0.7036,否
15,15元均衡能量套餐,NSGA-II,花菜、付皮包、千张结烧肉、糖醋里脊,4,15.177,775.0,69.2,42.5,36.2,7.5,0.84698,5.312,0.8624,0.177,0.6997,否
15,15元均衡能量套餐,NSGA-II,花菜、付皮包、芹菜香干、椒盐带鱼,4,15.164,523.0,52.2,36.5,20.2,6.5,0.825443,5.308,0.8599,0.164,0.6944,否
15,15元均衡能量套餐,NSGA-II,花菜、千张结烧肉、青瓜付竹肉片、茄子长豆/青椒素鸡,4,14.999,635.0,49.2,39.5,34.2,13.5,0.692548,5.25,0.8173,0.001,0.6935,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、千张结烧肉、青瓜付竹肉片、素烧鹅,4,15.054,800.0,53.0,44.0,47.0,9.0,0.83538,5.269,0.7583,0.054,0.6929,否
15,15元均衡能量套餐,NSGA-II,付皮包、青瓜付竹肉片、糖醋里脊、凉拌黑木耳/素烧鹅,4,15.017,800.0,85.0,43.0,30.0,11.0,0.563063,5.256,0.9133,0.017,0.6866,否
15,15元均衡能量套餐,NSGA-II,付皮包、千张结烧肉、糖醋里脊、青椒藕片,4,15.14,823.0,80.0,42.0,36.2,8.0,0.748054,5.299,0.8793,0.14,0.6834,否
15,15元均衡能量套餐,NSGA-II,花菜、付皮包、椒盐带鱼、雪菜素鸡/丝瓜毛豆子,4,15.09,605.0,59.2,42.5,23.2,9.5,0.684805,5.282,0.8774,0.09,0.6799,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、木耳西兰花、椒盐带鱼、素烧鹅,4,15.053,554.0,37.0,38.0,28.0,6.0,0.789513,5.269,0.7676,0.053,0.6768,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、付皮包、青瓜付竹肉片、糖醋里脊,4,15.193,900.0,78.0,49.0,41.0,8.0,0.867056,5.318,0.8266,0.193,0.6753,否
15,15元均衡能量套餐,NSGA-II,油豆腐烧肉、付皮包、椒盐带鱼、青韭南瓜丝,4,15.215,718.0,60.7,43.2,34.5,6.8,0.852093,5.325,0.854,0.215,0.6743,否
15,15元均衡能量套餐,NSGA-II,付皮包、椒盐带鱼、青韭南瓜丝、凉拌黑木耳/素烧鹅,4,15.039,618.0,67.7,37.2,23.5,9.8,0.5481,5.264,0.9235,0.039,0.6736,否
