日期,星期,菜品名称,备菜单位_100g,备菜重量kg,历史均价_元每100g,预计销售额,预计利润,消费偏好权重,热量供给,碳水供给,蛋白质供给,脂肪供给,膳食纤维供给
2025-05-06,星期二,茭白肉丝小炒,230,23.0,4.444,1022.234,357.782,0.034,41400.0,3450.0,2760.0,1840.0,690.0
2025-05-06,星期二,葱油鸡,230,23.0,4.239,974.951,341.233,0.075,46000.0,460.0,4600.0,2760.0,0.0
2025-05-06,星期二,家常豆腐,230,23.0,2.613,601.066,210.373,0.037,26680.0,988.924,2806.024,1402.908,137.96
2025-05-06,星期二,葱油娃娃菜,230,23.0,2.343,538.937,188.628,0.027,10350.0,1150.0,460.0,460.0,230.0
2025-05-06,星期二,米饭,230,23.0,0.215,49.368,17.279,0.578,29900.0,6486.002,621.036,68.979,92.0
2025-05-06,星期二,木耳莴笋,160,16.0,2.368,378.917,132.621,0.023,8000.0,1632.009,400.024,47.987,447.991
2025-05-06,星期二,油豆腐烧肉,121,12.1,2.847,344.506,120.577,0.038,26620.0,968.0,1452.0,1815.0,242.0
2025-05-06,星期二,付皮包,71,7.1,3.561,252.858,88.5,0.023,17750.0,2485.0,710.0,568.0,142.0
2025-05-06,星期二,扎肉,2,0.2,7.642,15.285,5.35,0.026,500.0,10.0,30.0,36.0,2.0
2025-05-06,星期二,盐水虾,2,0.2,6.986,13.973,4.89,0.04,198.0,0.0,48.0,0.6,0.0
2025-05-06,星期二,大排,2,0.2,5.319,10.637,3.723,0.038,500.0,10.0,40.0,30.0,0.0
2025-05-06,星期二,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-06,星期二,木耳西兰花,2,0.2,3.073,6.145,2.151,0.015,68.0,8.0,6.0,0.0,4.0
2025-05-06,星期二,青椒水面筋,2,0.2,3.043,6.086,2.13,0.017,240.0,40.0,10.0,6.0,4.0
2025-05-06,星期二,葱油金针菇,2,0.2,3.032,6.064,2.123,0.015,70.0,12.0,4.0,2.0,4.0
2025-05-06,星期二,素烧鹅,2,0.2,2.708,5.415,1.895,0.011,300.0,40.0,10.0,12.0,4.0
2025-05-06,星期二,花菜,2,0.2,2.6,5.2,1.82,0.024,50.0,8.4,4.999,0.4,4.999
2025-05-06,星期二,芹菜香干,2,0.2,2.577,5.154,1.804,0.018,196.0,16.0,12.0,10.0,4.0
2025-05-06,星期二,青椒藕片,2,0.2,2.564,5.127,1.795,0.012,146.0,30.0,4.0,0.4,6.0
2025-05-06,星期二,油麦菜,2,0.2,2.389,4.777,1.672,0.016,30.0,4.201,2.801,0.801,2.4
2025-05-06,星期二,青韭南瓜丝,2,0.2,2.381,4.762,1.667,0.011,196.0,25.4,6.4,8.999,5.6
2025-05-06,星期二,木耳花菜,2,0.2,2.356,4.712,1.649,0.011,54.0,10.0,4.0,0.0,4.0
2025-05-06,星期二,葱油芋头/红烧萝卜,2,0.2,2.301,4.601,1.61,0.021,360.0,51.2,7.0,16.4,8.6
2025-05-06,星期二,木耳娃娃菜,2,0.2,2.248,4.497,1.574,0.022,50.0,8.0,2.0,0.0,2.0
2025-05-06,星期二,番茄炒蛋/红烧萝卜,2,0.2,1.953,3.907,1.367,0.032,640.0,50.0,30.0,36.0,8.0
2025-05-06,星期二,包菜粉丝,2,0.2,1.885,3.771,1.32,0.02,180.0,36.0,4.0,2.0,4.0
