日期,星期,菜品名称,备菜单位_100g,备菜重量kg,历史均价_元每100g,预计销售额,预计利润,消费偏好权重,热量供给,碳水供给,蛋白质供给,脂肪供给,膳食纤维供给
2025-05-06,星期二,米饭,223,22.3,0.215,47.865,16.753,0.578,28990.0,6288.602,602.135,66.88,89.2
2025-05-06,星期二,茭白肉丝小炒,123,12.3,4.444,546.673,191.336,0.034,22140.0,1845.0,1476.0,984.0,369.0
2025-05-06,星期二,木耳娃娃菜,101,10.1,2.248,227.085,79.48,0.022,2525.0,404.0,101.0,0.0,101.0
2025-05-06,星期二,扎肉,91,9.1,7.642,695.457,243.41,0.026,22750.0,455.0,1365.0,1638.0,91.0
2025-05-06,星期二,付皮包,78,7.8,3.561,277.788,97.226,0.023,19500.0,2730.0,780.0,624.0,156.0
2025-05-06,星期二,土豆丝/小青菜,77,7.7,1.62,124.777,43.672,0.014,9240.0,1293.633,269.486,400.367,184.779
2025-05-06,星期二,葱油鸡,73,7.3,4.239,309.441,108.304,0.075,14600.0,146.0,1460.0,876.0,0.0
2025-05-06,星期二,葱油扇贝,71,7.1,7.226,513.058,179.57,0.013,10650.0,355.0,1420.0,426.0,0.0
2025-05-06,星期二,红烧带鱼,68,6.8,6.101,414.863,145.202,0.015,10200.0,340.0,1360.0,408.0,0.0
2025-05-06,星期二,木耳莴笋,63,6.3,2.368,149.199,52.22,0.023,3150.0,642.603,157.509,18.895,176.397
2025-05-06,星期二,花椒排骨,52,5.2,5.074,263.872,92.355,0.018,16640.0,260.0,1300.0,1144.0,52.0
2025-05-06,星期二,花菜,50,5.0,2.6,130.005,45.502,0.024,1250.0,210.003,124.98,10.003,124.98
2025-05-06,星期二,盐水虾,47,4.7,6.986,328.36,114.926,0.04,4653.0,0.0,1128.0,14.091,0.0
2025-05-06,星期二,黄豆猪脚,39,3.9,4.586,178.861,62.602,0.018,7410.0,234.0,780.0,390.0,78.0
2025-05-06,星期二,培红菜蘑菇毛豆肉丝,30,3.0,4.672,140.16,49.056,0.022,9600.0,450.0,750.0,540.0,120.0
2025-05-06,星期二,大排,29,2.9,5.319,154.239,53.984,0.038,7250.0,145.0,580.0,435.0,0.0
2025-05-06,星期二,虎皮尖椒/西葫芦炒蛋,29,2.9,2.484,72.026,25.209,0.013,8120.0,348.0,435.0,522.0,87.0
2025-05-06,星期二,虎皮蛋烧肉,25,2.5,4.495,112.372,39.33,0.015,6250.0,250.0,375.0,450.0,25.0
2025-05-06,星期二,卤鸭,24,2.4,4.615,110.765,38.768,0.016,5760.0,72.0,480.0,408.0,0.0
2025-05-06,星期二,油爆虾,22,2.2,6.097,134.142,46.95,0.014,4400.0,110.0,440.0,220.0,22.0
2025-05-06,星期二,千张结烧肉,20,2.0,4.865,97.293,34.053,0.02,5000.0,200.0,300.0,360.0,40.0
2025-05-06,星期二,红烧排骨,19,1.9,5.237,99.501,34.825,0.019,4750.0,95.0,380.0,285.0,0.0
2025-05-06,星期二,芹菜香干,19,1.9,2.577,48.966,17.138,0.018,1862.0,152.0,114.0,95.0,38.0
2025-05-06,星期二,酱鸭,13,1.3,4.788,62.242,21.785,0.017,3471.0,39.0,234.0,260.0,0.0
2025-05-06,星期二,油豆腐烧肉,10,1.0,2.847,28.472,9.965,0.038,2200.0,80.0,120.0,150.0,20.0
2025-05-06,星期二,葱油芋头/红烧萝卜,7,0.7,2.301,16.105,5.637,0.021,1260.0,179.2,24.499,57.398,30.099
2025-05-06,星期二,青瓜付竹肉片,6,0.6,4.634,27.805,9.732,0.013,1080.0,90.0,72.0,48.0,18.0
2025-05-06,星期二,油麦菜,6,0.6,2.389,14.332,5.016,0.016,90.0,12.603,8.402,2.402,7.199
2025-05-06,星期二,葱油娃娃菜,4,0.4,2.343,9.373,3.28,0.027,180.0,20.0,8.0,8.0,4.0
2025-05-06,星期二,红烧肉,2,0.2,5.202,10.403,3.641,0.013,500.0,10.0,20.0,40.0,0.0
2025-05-06,星期二,春卷,2,0.2,4.52,9.039,3.164,0.019,500.0,60.0,16.0,20.0,4.0
2025-05-07,星期三,米饭,216,21.6,0.215,46.363,16.227,0.578,28080.0,6091.202,583.234,64.78,86.4
2025-05-07,星期三,包菜粉丝,143,14.3,1.885,269.596,94.359,0.02,12870.0,2574.0,286.0,143.0,286.0
2025-05-07,星期三,油爆虾,98,9.8,6.097,597.543,209.14,0.014,19600.0,490.0,1960.0,980.0,98.0
2025-05-07,星期三,芹菜香干,96,9.6,2.577,247.405,86.592,0.018,9408.0,768.0,576.0,480.0,192.0
2025-05-07,星期三,红烧带鱼,79,7.9,6.101,481.974,168.691,0.015,11850.0,395.0,1580.0,474.0,0.0
2025-05-07,星期三,付皮包,78,7.8,3.561,277.788,97.226,0.023,19500.0,2730.0,780.0,624.0,156.0
2025-05-07,星期三,花菜,77,7.7,2.6,200.207,70.072,0.024,1925.0,323.404,192.47,15.404,192.47
2025-05-07,星期三,青椒水面筋,76,7.6,3.043,231.276,80.947,0.017,9120.0,1520.0,380.0,228.0,152.0
2025-05-07,星期三,葱油扇贝,75,7.5,7.226,541.963,189.687,0.013,11250.0,375.0,1500.0,450.0,0.0
2025-05-07,星期三,扎肉,64,6.4,7.642,489.113,171.189,0.026,16000.0,320.0,960.0,1152.0,64.0
2025-05-07,星期三,春卷,58,5.8,4.52,262.133,91.747,0.019,14500.0,1740.0,464.0,580.0,116.0
2025-05-07,星期三,卤鸭,52,5.2,4.615,239.99,83.997,0.016,12480.0,156.0,1040.0,884.0,0.0
2025-05-07,星期三,葱油鸡,36,3.6,4.239,152.601,53.41,0.075,7200.0,72.0,720.0,432.0,0.0
2025-05-07,星期三,宫保鸡丁,36,3.6,3.926,141.328,49.465,0.013,5976.0,288.0,432.0,324.0,36.0
2025-05-07,星期三,葱油金针菇,29,2.9,3.032,87.934,30.777,0.015,1015.0,174.0,58.0,29.0,58.0
2025-05-07,星期三,虎皮尖椒/西葫芦炒蛋,27,2.7,2.484,67.059,23.471,0.013,7560.0,324.0,405.0,486.0,81.0
2025-05-07,星期三,花椒排骨,25,2.5,5.074,126.862,44.402,0.018,8000.0,125.0,625.0,550.0,25.0
2025-05-07,星期三,酸辣土豆丝,22,2.2,1.506,33.14,11.599,0.022,1694.0,374.0,44.0,2.212,39.599
2025-05-07,星期三,葱油娃娃菜,20,2.0,2.343,46.864,16.402,0.027,900.0,100.0,40.0,40.0,20.0
2025-05-07,星期三,家常豆腐,18,1.8,2.613,47.04,16.464,0.037,2088.0,77.394,219.602,109.793,10.797
2025-05-07,星期三,盐水虾,15,1.5,6.986,104.796,36.678,0.04,1485.0,0.0,360.0,4.497,0.0
2025-05-07,星期三,番茄炒蛋/红烧萝卜,13,1.3,1.953,25.395,8.888,0.032,4160.0,325.0,195.0,234.0,52.0
2025-05-07,星期三,红烧肉,11,1.1,5.202,57.217,20.026,0.013,2750.0,55.0,110.0,220.0,0.0
2025-05-07,星期三,豆芽/青菜,11,1.1,1.568,17.251,6.038,0.014,484.0,93.5,35.203,2.203,19.797
2025-05-07,星期三,青瓜付竹肉片,9,0.9,4.634,41.707,14.598,0.013,1620.0,135.0,108.0,72.0,27.0
2025-05-07,星期三,黄豆猪脚,7,0.7,4.586,32.103,11.236,0.018,1330.0,42.0,140.0,70.0,14.0
2025-05-07,星期三,大排,5,0.5,5.319,26.593,9.308,0.038,1250.0,25.0,100.0,75.0,0.0
2025-05-07,星期三,红烧排骨,5,0.5,5.237,26.184,9.165,0.019,1250.0,25.0,100.0,75.0,0.0
2025-05-07,星期三,虎皮蛋烧肉,5,0.5,4.495,22.474,7.866,0.015,1250.0,50.0,75.0,90.0,5.0
2025-05-07,星期三,小青菜,5,0.5,1.609,8.043,2.815,0.02,75.0,13.501,7.499,1.001,5.5
2025-05-07,星期三,油麦菜,3,0.3,2.389,7.166,2.508,0.016,45.0,6.302,4.201,1.201,3.6
2025-05-08,星期四,米饭,223,22.3,0.215,47.865,16.753,0.578,28990.0,6288.602,602.135,66.88,89.2
2025-05-08,星期四,红烧带鱼,191,19.1,6.101,1165.278,407.847,0.015,28650.0,955.0,3820.0,1146.0,0.0
2025-05-08,星期四,大排,145,14.5,5.319,771.196,269.919,0.038,36250.0,725.0,2900.0,2175.0,0.0
2025-05-08,星期四,葱油鸡,113,11.3,4.239,478.998,167.649,0.075,22600.0,226.0,2260.0,1356.0,0.0
2025-05-08,星期四,红烧肉,92,9.2,5.202,478.544,167.49,0.013,23000.0,460.0,920.0,1840.0,0.0
2025-05-08,星期四,葱油金针菇,65,6.5,3.032,197.093,68.983,0.015,2275.0,390.0,130.0,65.0,130.0
2025-05-08,星期四,油爆虾,62,6.2,6.097,378.037,132.313,0.014,12400.0,310.0,1240.0,620.0,62.0
2025-05-08,星期四,千张结烧肉,57,5.7,4.865,277.286,97.05,0.02,14250.0,570.0,855.0,1026.0,114.0
2025-05-08,星期四,木耳西兰花,57,5.7,3.073,175.139,61.299,0.015,1938.0,228.0,171.0,0.0,114.0
2025-05-08,星期四,付皮包,51,5.1,3.561,181.63,63.571,0.023,12750.0,1785.0,510.0,408.0,102.0
2025-05-08,星期四,青椒水面筋,43,4.3,3.043,130.854,45.799,0.017,5160.0,860.0,215.0,129.0,86.0
2025-05-08,星期四,花菜,43,4.3,2.6,111.804,39.131,0.024,1075.0,180.602,107.483,8.602,107.483
2025-05-08,星期四,黄豆猪脚,41,4.1,4.586,188.034,65.812,0.018,7790.0,246.0,820.0,410.0,82.0
