日期,星期,菜品名称,备菜单位_100g,备菜重量kg,历史均价_元每100g,预计销售额,预计利润,消费偏好权重,热量供给,碳水供给,蛋白质供给,脂肪供给,膳食纤维供给
2025-05-06,星期二,牛肉,230,23.0,16.573,3811.836,1334.143,0.012,57500.0,460.0,5980.0,3680.0,0.0
2025-05-06,星期二,扎肉,230,23.0,7.642,1757.749,615.212,0.026,57500.0,1150.0,3450.0,4140.0,230.0
2025-05-06,星期二,培红菜蘑菇毛豆肉丝,230,23.0,4.672,1074.558,376.095,0.022,73600.0,3450.0,5750.0,4140.0,920.0
2025-05-06,星期二,付皮包,230,23.0,3.561,819.118,286.691,0.023,57500.0,8050.0,2300.0,1840.0,460.0
2025-05-06,星期二,米饭,230,23.0,0.215,49.368,17.279,0.578,29900.0,6486.002,621.036,68.979,92.0
2025-05-06,星期二,盐水虾,171,17.1,6.986,1194.671,418.135,0.04,16929.0,0.0,4104.0,51.268,0.0
2025-05-06,星期二,番茄炒蛋/红烧萝卜,48,4.8,1.953,93.766,32.818,0.032,15360.0,1200.0,720.0,864.0,192.0
2025-05-06,星期二,春卷,37,3.7,4.52,167.223,58.528,0.019,9250.0,1110.0,296.0,370.0,74.0
2025-05-06,星期二,葱油芋头/红烧萝卜,6,0.6,2.301,13.804,4.831,0.021,1080.0,153.6,20.999,49.199,25.799
2025-05-06,星期二,葱油扇贝,2,0.2,7.226,14.452,5.058,0.013,300.0,10.0,40.0,12.0,0.0
2025-05-06,星期二,椒盐带鱼,2,0.2,6.426,12.852,4.498,0.012,300.0,10.0,36.0,14.0,0.0
2025-05-06,星期二,韭黄肉丝小炒,2,0.2,4.847,9.694,3.393,0.012,440.0,20.0,30.0,24.0,4.0
2025-05-06,星期二,香菇肉丝,2,0.2,4.78,9.56,3.346,0.012,300.0,20.0,24.0,14.0,4.0
2025-05-06,星期二,青瓜付竹肉片,2,0.2,4.634,9.268,3.244,0.013,360.0,30.0,24.0,16.0,6.0
2025-05-06,星期二,茭白肉丝小炒,2,0.2,4.444,8.889,3.111,0.034,360.0,30.0,24.0,16.0,6.0
2025-05-06,星期二,糖醋里脊,2,0.2,4.151,8.301,2.905,0.013,500.0,40.0,30.0,20.0,2.0
