价位,套餐名称,方法,菜品组合,菜品数量,总价格/元,热量/kcal,碳水/g,蛋白质/g,脂肪/g,膳食纤维/g,偏好得分,预计利润/元,营养均衡得分,价格偏差/元,综合评分,是否放宽价格
10,10元经济应急套餐,NSGA-II,大排、青椒水面筋、土豆丝/小青菜,3,9.982,490.0,41.8,28.5,23.2,4.4,0.680647,3.494,0.8563,0.018,0.8028,否
10,10元经济应急套餐,NSGA-II,春卷、油麦菜、木耳西兰花,3,9.981,299.0,36.101,12.4,10.4,5.2,0.57328,3.493,0.9079,0.019,0.7771,否
10,10元经济应急套餐,NSGA-II,春卷、豆芽/青菜、宫保鸡丁,3,10.014,460.0,46.5,23.2,19.2,4.8,0.532075,3.505,0.9289,0.014,0.7754,否
10,10元经济应急套餐,NSGA-II,大排、家常豆腐、酸辣藕丝/木耳莴笋,3,10.033,486.0,27.9,36.7,24.3,6.399,0.729839,3.512,0.7519,0.033,0.7736,否
10,10元经济应急套餐,NSGA-II,大排、青椒水面筋、包菜油付/绿豆芽,3,10.012,490.0,35.301,30.2,25.5,5.8,0.650533,3.504,0.8024,0.012,0.7733,否
10,10元经济应急套餐,NSGA-II,家常豆腐、春卷、青椒水面筋,3,10.176,486.0,54.3,25.2,19.1,4.6,0.728251,3.562,0.942,0.176,0.7688,否
10,10元经济应急套餐,NSGA-II,家常豆腐、培红菜蘑菇毛豆肉丝、素烧鹅,3,9.993,586.0,39.3,42.2,30.1,6.6,0.691849,3.498,0.7408,0.007,0.7664,否
10,10元经济应急套餐,NSGA-II,春卷、青椒水面筋、油麦菜,3,9.951,385.0,52.101,14.4,13.4,5.2,0.589304,3.483,0.9218,0.049,0.7664,否
10,10元经济应急套餐,NSGA-II,大排、酸辣土豆丝、青椒水面筋,3,9.868,447.0,42.0,27.0,18.101,3.8,0.744558,3.454,0.9005,0.132,0.7581,否
10,10元经济应急套餐,NSGA-II,春卷、木耳西兰花、木耳娃娃菜/黄豆芽,3,9.992,404.0,52.0,19.0,13.0,9.0,0.444222,3.497,0.9652,0.008,0.7547,否
10,10元经济应急套餐,NSGA-II,大排、青椒水面筋、豆芽/青菜,3,9.93,414.0,33.5,28.2,18.2,3.8,0.682647,3.475,0.8385,0.07,0.7539,否
10,10元经济应急套餐,NSGA-II,家常豆腐、春卷、西葫芦炒鸡蛋/肉末茄,3,10.083,646.0,54.3,38.2,31.1,5.6,0.695075,3.529,0.7869,0.083,0.743,否
10,10元经济应急套餐,NSGA-II,春卷、芹菜香干、青椒水面筋,3,10.14,468.0,58.0,19.0,18.0,6.0,0.601608,3.549,0.9434,0.14,0.7358,否
